state_abbr,state_fips,state_name,vest_2020,precinct_field_2020,vest_2018,precinct_field_2018,vest_2016,precinct_field_2016,simplification,quantization,min_zoom,max_zoom,max_tile_bytes,big_flag,status,notes
AK,02,Alaska,ak_2020.zip,DISTRICT,ak_2018.zip,DISTRICT,ak_2016.zip,DISTRICT,0.00000001,1e6,"10,4,0","14,12,8",750000,true,published,
AL,01,Alabama,al_2020.zip,VTDST20,al_2018.zip,VTDST18,al_2016.zip,VTDST16,0.000000005,1e5,"10,4,0","14,12,8",500000,true,published,extra years: 2017=al_2017.zip
AR,05,Arkansas,ar_2020.zip,PRECINCT,ar_2018.zip,PRECINCT,ar_2016.zip,PRECINCT,0.000000005,1e5,"10,4,0","14,12,8",500000,true,published,
AZ,04,Arizona,az_2020.zip,PRECINCTNA,az_2018.zip,PRECINCTNA,az_2016.zip,PRECINCTNA,0.000000005,1e5,"10,4,0","14,12,8",650000,true,published,
CA,06,California,ca_2020.zip,SRPREC_KEY,,,ca_2016.zip,SRPREC_KEY,0.00000001,1e6,"11,4,0","14,12,8",500000,true,published,
CO,08,Colorado,co_2020.zip,PRECINCT,co_2018.zip,PRECINCT,co_2016.zip,PRECINCT,0.00000002,1e5,"11,4,0","14,12,8",500000,true,published,
CT,09,Connecticut,ct_2020.zip,NAME20,ct_2018.zip,NAME20,ct_2016.zip,NAME20,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,
DC,11,District of Columbia,dc_2020.zip,GEOID,dc_2018.zip,NAME,dc_2016.zip,NAME,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,
DE,10,Delaware,de_2020.zip,PRECINCT,de_2018.zip,PRECINCT,de_2016.zip,PRECINCT,0.0000000025,1e5,"10,4,0","14,12,8",500000,true,published,
FL,12,Florida,fl_2020.zip,PRECINCT,fl_2018.zip,PRECINCT,fl_2016.zip,PRECINCT,0.00000001,1e6,"11,4,0","14,12,8",500000,true,published,extra years: 2012=fl_2012.zip; 2014=fl_2014.zip
GA,13,Georgia,ga_2020.zip,PRECINCT_I,ga_2018.zip,PRECINCT_I,ga_2016.zip,PRECINCT_I,0.00000001,1e6,"10,4,0","14,12,8",500000,true,published,
HI,15,Hawaii,hi_2020.zip,PRECINCT,hi_2018.zip,PRECINCT,hi_2016.zip,PRECINCT,0.000000005,1e5,"10,4,0","14,12,8",500000,true,published,
IA,19,Iowa,ia_2020.zip,DISTRICT,ia_2018.zip,DISTRICT,ia_2016.zip,DISTRICT,0.000000005,1e5,"10,4,0","14,12,8",500000,true,published,
ID,16,Idaho,id_2020.zip,VTDST,id_2018.zip,VTDST,id_2016.zip,VTDST,0.000000005,1e5,"10,4,0","14,12,8",500000,true,published,
